Currency,Buying,Selling,Mean,Transaction Date,source_url,scraped_at
NOK,256.16,258.72,257.44,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
NZD,1489.92,1504.82,1497.37,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
PKR,8.83,8.92,8.88,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
QAR,678.32,685.11,681.71,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
RWF,1.69,1.71,1.7,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
SAR,659.26,665.85,662.56,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
SDR,3420.34,3454.54,3437.44,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
SEK,278.18,280.96,279.57,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
SGD,1954.84,1974.39,1964.62,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
TRY,56.94,57.51,57.23,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
UGX,0.69,0.7,0.69,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
USD,2472.49,2497.21,2484.85,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
GOLD,13076677.25,13207444.02,13142060.64,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
ZAR,155.14,156.7,155.92,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
ZMW,123.93,125.17,124.55,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
ZWD,6.49,6.55,6.52,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
AED,677.8915,684.6705,681.281,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
ATS,159.6095,161.2055,160.4075,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
AUD,1742.3223,1759.7455,1751.0339,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
BIF,0.8371,0.8455,0.8413,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
BWP,202.445,204.4695,203.4573,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
CAD,1837.9827,1856.3626,1847.1726,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
CHF,3245.2744,3277.7271,3261.5007,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
CNY,358.3495,361.933,360.1412,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
CUC,103.7541,104.7917,104.2729,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
DKK,398.0783,402.0591,400.0687,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
DZD,19.2491,19.4416,19.3453,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
EUR,2973.4272,3003.1615,2988.2944,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
GBP,3430.6094,3464.9155,3447.7625,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
HKD,319.0471,322.2376,320.6424,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
INR,27.0804,27.3512,27.2158,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
IQD,1.9001,1.9191,1.9096,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
IRR,0.0023,0.0023,0.0023,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
JPY,16.2943,16.4573,16.3758,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
KES,19.2881,19.481,19.3846,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
KRW,1.7336,1.751,1.7423,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
KWD,8169.6162,8251.3123,8210.4643,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
MWK,1.4227,1.4369,1.4298,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
MYR,633.613,639.9491,636.781,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
MZM,38.5942,38.9802,38.7872,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
NAD,156.5312,158.0966,157.3139,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
NGN,1.7935,1.8114,1.8024,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
NLG,996.6376,1006.604,1001.6208,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
NOK,259.7804,262.3782,261.0793,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
NZD,1504.7668,1519.8145,1512.2907,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
PKR,8.8964,8.9854,8.9409,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
QAR,683.1547,689.9863,686.5705,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
RWF,1.7057,1.7227,1.7142,2026-01-30,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-30 03:27:54.064880
